issue,Before_count,Before_negative_denominator,Before_mention_pct,After_count,After_negative_denominator,After_mention_pct,change_pp
ranked_rp,9,143,6.293706293706293,7,184,3.8043478260869565,-2.4893584676193368
matchmaking,7,143,4.895104895104895,4,184,2.1739130434782608,-2.7211918516266342
cheating_fairness,30,143,20.97902097902098,33,184,17.934782608695652,-3.0442383703253277
performance_technical,10,143,6.993006993006993,14,184,7.608695652173913,0.6156886591669197
gameplay_balance,10,143,6.993006993006993,10,184,5.434782608695652,-1.558224384311341
