period,recommendation_group,review_count,recommended_count,not_recommended_count,recommendation_rate,playtime_valid_count,playtime_mean_hours,playtime_median_hours,review_length_mean,review_length_median,helpful_vote_mean,helpful_vote_median,after_minus_before_recommendation_pp
Before,All,667,524,143,0.7856071964017991,667,395.00009995002495,50.36666666666667,107.69415292353823,19.0,0.5472263868065967,0.0,-0.2077784637093183
Before,Recommended,524,524,0,1.0,524,363.8294847328245,52.775,85.25954198473282,14.0,0.30725190839694655,0.0,-0.2077784637093183
Before,Not recommended,143,0,143,0.0,143,509.219696969697,37.75,189.9020979020979,46.0,1.4265734265734267,0.0,-0.2077784637093183
After,All,850,666,184,0.7835294117647059,850,488.69196078431366,89.225,63.42470588235294,15.0,0.28,0.0,-0.2077784637093183
After,Recommended,666,666,0,1.0,666,421.4953203203203,81.2,43.88288288288288,10.0,0.2747747747747748,0.0,-0.2077784637093183
After,Not recommended,184,0,184,0.0,184,731.9145833333333,124.07499999999999,134.1576086956522,46.0,0.29891304347826086,0.0,-0.2077784637093183
